pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits
16004747,20467,useful,maxbeatty,1470322710,1,26,2,1.8852626028806585,113.57870241769551,283
16002743,20463,useless,maxbeatty,1470311907,1,17,2,1.8880411522633744,113.97186715534977,283
16002591,20462,useful,maxbeatty,1470311370,1,24,2,3.21269804526749,113.9914107510288,283
16008022,20459,useless,superSheng11,1470274315,1,1,1,0,59.76302456275719,96
15992270,20457,useless,dciccale,1470263678,1,19,1,3.1043485082304523,115.72711496913585,283
15986935,20454,useless,719media,1470225798,1,2,1,0.6389798096707818,114.12765817901231,280
16800981,20447,useful,bassjobsen,1470179565,1,1,1,0.7043814300411523,114.7850914351852,279
18315619,20441,useful,cortopy,1470121599,3,8,3,0.08287384259259256,115.85494431584362,278
15965295,20436,useful,NicoLB,1470089402,2,9,2,2.7408761574074068,117.00602019032925,278
15964814,20434,useful,vanduynslagerp,1470083964,2,16,1,0.2664044495884773,117.20043428497938,278
16800992,20419,useless,cwaffles,1469875722,1,34,38,0,117.52037075617284,271
16440392,20416,useless,tnga,1469851914,1,4,1,0.6560792181069959,118.35009915123459,271
16440390,20415,useless,tnga,1469851317,1,4,1,0.9051882716049383,63.94050540123457,95
15994774,20411,useless,judetucker,1469809907,1,2,1,0.372136316872428,119.8140776748971,271
15927735,20407,useful,hebbet,1469757839,1,4,2,0,61.0604906121399,91
15932184,20402,useless,ntwb,1469733978,4,96,4,25.01915972222223,79.2875760030864,226
17764402,20397,useless,judetucker,1469696262,1,1,1,0.13757253086419752,123.77469945987652,271
16161300,20394,useful,dangreen,1469692547,1,2,1,21.705958719135797,123.9041702674897,271
15912591,20386,useful,supergibbs,1469632858,1,2,1,1.7919077932098766,115.71747698045269,260
15901246,20372,useful,mdo,1469560621,1,90,7,9.310159850823045,109.07169457304522,251
16926498,20363,useless,judetucker,1469473678,1,2,1,0.3096268004115226,99.74827919238682,239
15886571,20361,useful,mdo,1469460314,1,13,1,3.115210133744856,98.15071862139911,237
15867577,20349,useful,mdo,1469287187,1,77,3,1.5373461934156376,93.28140483539096,228
15850768,20343,useful,cvrebert,1469129500,1,2,1,0,52.85160275205758,76
15846991,20341,useful,pat270,1469098069,1,10,1,0.2145006430041152,97.89890444958849,233
16823186,20339,useless,lsmith130,1469077869,1,2,1,0,51.34093698559674,74
15835218,20333,useful,any-hn,1469014810,1,20,1,0,100.40191872427988,235
15834397,20332,useless,mdo,1469010158,2,389,12,24.486590149176955,100.5425077160494,235
15829954,20331,useless,nanuclickity,1468987018,2,188,13,33.4693263888889,100.23841177983535,235
16534654,20329,useful,patrickhlauke,1468933838,2,47,9,15.444335005144037,99.83708770576136,234
15792038,20314,useful,cvrebert,1468696592,1,2,1,6.101393389917695,49.89531751543211,69
16147989,20304,useful,mr-july,1468477804,1,2,1,1.567286265432099,108.65401504629634,237
15765211,20299,useful,cvrebert,1468440222,1,1,1,2.1798535236625516,108.79775655864198,238
15758668,20295,useful,tomlutzenberger,1468393988,1,2,1,2.641329603909465,109.21312268518516,238
15754603,20290,useless,bm2u,1468367814,1,24,1,0,110.01423019547326,238
16004917,20288,useless,XhmikosR,1468317991,4,42,14,89.46729050925923,106.51653472222222,233
15834617,20285,useless,bm2u,1468302737,1,18,2,0,112.00604166666673,238
