pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits
15480963,3170,useless,dshaps10,1466000273,1,16,1,1.5864277263374484,34.13584580761318,69
15346291,3152,useless,scottgonzalez,1465359500,1,2,1,6.2303431069958854,33.843558899176955,67
15345645,3151,useless,mgol,1465357913,2,64,2,2.4392028034979423,33.85723289609053,67
15345025,3150,useful,mgol,1465356244,2,64,2,5.524872299382716,33.87161342592592,67
15330664,3148,useful,markelog,1465317975,6,2426,55,40.88297376543211,34.20266203703704,69
15278802,3142,useless,William750214,1465159005,1,1,1,0,35.6456517489712,71
15228413,3141,useful,VinayPatlolla,1464922797,143,6289,198,17.58042618312757,9.415645190329217,19
15214641,3140,useless,dmethvin,1464874559,1,11,2,9.888301440329217,34.310502700617306,71
15103655,3134,useful,mgol,1464521094,2,64,2,0.8166680812757202,37.598633359053494,73
14980964,3127,useful,dmethvin,1464085702,1,152,4,14.807661522633746,40.62984439300412,74
14752093,3122,useless,christophetd,1463370477,1,4,1,0,42.33706584362141,72
14745766,3121,useless,markelog,1463348163,2,190,3,12.112427083333333,42.543676954732504,72
14668014,3118,useless,zhougch5,1463035443,1,2,1,1.3210951646090536,43.458992283950636,73
14648492,3116,useless,timmywil,1462972784,2,26,2,0.8576939300411524,43.048287165637845,74
14599532,3113,useful,dmethvin,1462899380,1,19,2,5.791517618312757,42.73552044753091,74
14498738,3108,useless,dmethvin,1462448945,1,2,1,3.7614386574074072,42.10884477880661,74
14476349,3106,useless,dmethvin,1462380081,1,36,1,3.805718492798354,42.76418634259261,74
14476222,3105,useless,gibson042,1462379543,1,28,2,6.160707047325102,42.769306198559654,74
14387182,3097,useless,fsateler,1462161868,1,26,2,5.364052597736626,40.80407008744856,71
14332294,3095,useless,ralinchimev,1461924835,1,2,1,1.9820799897119339,41.974216049382704,71
14309395,3090,useless,dmethvin,1461864705,1,5,1,2.00527829218107,41.51665239197533,71
14290583,3086,useless,TripleCxx,1461822870,1,34,3,8.79659156378601,41.898633487654315,71
14258869,3084,useless,gibson042,1461744021,1,10,2,2.6031314300411523,39.62134452160496,71
14217940,3081,useless,dmethvin,1461649083,2,103,3,5.763950617283951,33.44817271090537,73
14193357,3078,useful,mgol,1461584278,4,22,2,3.9339328703703704,33.04423109567899,72
14186074,3076,useless,markelog,1461570369,1,23,2,1.1910474537037037,32.16808770576131,71
14139458,3074,useless,xshaitt,1461405506,1,376,1,1.7763846450617282,30.66391988168725,70
14053503,3070,useless,dmethvin,1461163094,1,22,2,0,26.661164609053507,66
14024175,3069,useless,lexxur,1461101269,250,36228,202,116.16757638888876,27.185913837448563,66
13895703,3061,useless,gibson042,1460722798,1,77,2,0.871295267489712,30.59701131687242,71
13917539,3059,useful,gibson042,1460660598,2,715,1,0.8872932098765433,31.16493827160494,71
13872571,3057,useless,timmywil,1460623792,2,26,2,0.13695730452674892,11.196522119341562,24
13713674,3049,useless,dmethvin,1460099112,1,15,1,1.6333139146090536,33.913209876543185,83
13702926,3047,useless,dvinay,1460045258,99,5880,79,93.16172042181067,33.47934632201647,82
13689940,3044,useless,Abdallahozaifa,1459964090,1,10,1,0,34.339430941358,85
13598168,3039,useful,markelog,1459766625,2,42,2,1.431784593621399,33.467495756172816,82
13591079,3037,useless,gibson042,1459752702,4,61,4,6.000095036008232,31.604461291152262,80
13571983,3034,useful,markelog,1459689067,1,58,2,1.544042438271605,27.367709362139916,75
13488304,3030,useless,sowcow,1459402553,1,45,2,0,30.131154578189307,75
13390878,3022,useless,timmywil,1459143278,1,40,2,4.673825231481481,30.62330246913581,73
13389230,3021,useful,markelog,1459138345,4,70,2,5.118245498971194,30.669612782921813,73
13379847,3020,useless,junmond,1459095156,1,37,1,0,31.075065072016454,73
13283325,3016,useless,bluekvirus,1458734783,3,138,1,1.0581597222222223,34.45819637345678,73
13282143,3015,useless,bluekvirus,1458732351,1,132,1,1.0587852366255144,34.481027649176966,73
13270844,3014,useful,mgol,1458709489,6,446,34,28.532126543209884,34.695652906378605,73
13122373,3007,useless,jtrumbull,1458191233,1,3,1,0,38.55573906893003,72
13076916,3002,useful,timmywil,1458047791,1,66,2,2.0864754372427985,39.88390573559669,72
13046895,2999,useless,mayurans,1457959774,95,5756,79,81.38943261316874,40.69887795781893,72
13046522,2998,useless,gibson042,1457958877,2,57,4,2.3751635802469138,40.707183513374474,72
13036876,2996,useless,markelog,1457937067,1,58,3,5.310253215020576,38.8994368569959,70
12997929,2988,useless,markelog,1457761918,2,88,2,6.708795010288067,39.4498634259259,69
12978055,2985,useless,gibson042,1457679341,1,8,2,3.1067376543209875,17.786138760288065,34
12922275,2981,useless,timmywil,1457516801,2,22,1,0,39.58540007716048,67
12858247,2976,useless,timmywil,1457337505,1,27,5,0.7175077160493828,38.05967708333333,64
12815566,2974,useless,Pines-Cheng,1457159380,2,605,9,0,36.44541190843622,61
12812088,2973,useless,all3fox,1457140149,3,108,2,0.5987386831275721,36.596272376543205,61
12812007,2972,useless,Shaz3e,1457139711,91,5667,78,59.71676157407406,36.599708333333325,61
12794006,2971,useless,Pines-Cheng,1457077968,1,15,3,0.43822042181069953,36.07905838477365,60
12775287,2970,useless,timmywil,1457015527,2,40,2,4.4399756944444455,36.56085622427983,60
12770748,2969,useless,timmywil,1457004998,1,10,3,1.3763876028806583,35.637350051440336,59
12571001,2949,useful,mgol,1456327206,3,635,31,19.735746913580243,39.96265740740741,62
