pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits
17049655,15132,useful,prashantpawar,1473792653,2,94,2,25.091230967078186,86.35018171296295,184
17013696,15129,useless,austinoneil,1473693557,2,21,1,0,88.83484593621391,202
16998080,15123,useless,gkalpak,1473656729,1,40,2,25.802029706790133,87.78196373456792,200
16961992,15120,useless,stevermeister,1473492608,1,17,1,1.7794732510288067,91.08800077160492,206
16951080,15119,useless,thorn0,1473430545,2,12,1,13.796149176954732,91.7216080246913,205
16944982,15117,useful,austinoneil,1473417334,2,4,1,4.237963220164609,91.06480761316865,204
16942413,15114,useless,gkalpak,1473411651,7,667,17,39.55471643518519,91.21389866255141,204
16937242,15113,useless,edclements,1473400497,1,7,2,3.1497595164609056,91.50651903292184,204
16931279,15112,useless,drpicox,1473385132,1,153,3,29.132903420781904,91.90961316872436,204
16911028,15111,useful,mohsen1,1473326396,1,2,1,1.387747685185185,87.43295421810699,207
16905926,15110,useless,thorn0,1473315644,2,673,3,26.546567901234564,87.71917644032916,207
16892356,15106,useless,austinoneil,1473276760,1,15,2,25.7807941100823,82.71755787037031,205
16870025,15104,useful,mgol,1473221935,8,418,3,5.870310828189302,83.1709808384773,208
16867902,15103,useless,jbmilgrom,1473216636,1,2,1,12.416009387860084,82.30845550411524,207
16858860,15100,useful,austinoneil,1473187807,1,3,1,2.0244908693415637,80.05619444444456,204
16858663,15099,useful,sethbattin,1473186905,1,4,1,5.044083719135801,80.07985802469148,204
16844639,15098,useful,gkalpak,1473149418,1,38,2,19.460795138888884,81.06331327160494,204
16821748,15095,useful,petebacondarwin,1473077283,2,128,2,19.83185995370371,82.96734567901244,208
16821671,15094,useful,petebacondarwin,1473076993,2,1273,12,8.79578163580247,82.97510288065847,208
16769527,15089,useless,Ruanito,1472822810,1,4,1,0,84.90579218106991,216
16757062,15087,useless,fl0s,1472792081,1,4,2,0,84.75254282407403,215
16751836,15086,useful,AAAApps,1472778744,1,2,1,0,85.12129989711929,215
16732777,15083,useful,bglick,1472719226,1,2,1,2.0778459362139916,85.7831338734567,222
