pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits,branch
43185659,26986,useless,kwaaui,1532862756,1,2,1,1.7594966563786008,92.74318441358028,141,v4-dev
43127215,26982,useful,lgdean,1532699013,1,2,1,1.8016116255144032,92.72854475308637,142,v4-dev
43090157,26979,useless,chandanndeep,1532648000,1,2,2,0,93.66010931069964,142,v4-dev
43052926,26973,useful,MartijnCuppens,1532589807,1,2,1,1.8296995884773664,94.72279012345673,142,v4-dev
43005473,26966,useful,XhmikosR,1532517286,1,31,1,1.848352109053498,95.0598260030865,144,v4-dev
42982389,26963,useless,thezahedi,1532489209,1,2243,3,0,95.57977044753076,144,v4-dev
42969150,26960,useful,XhmikosR,1532470594,1,43,5,28.259482124485608,97.97343441358032,146,v4-dev
42954490,26957,useful,mdo,1532446696,1,1,1,2.926994470164609,92.3485433384774,140,v4-dev
42893589,26949,useful,mdo,1532366806,1,254,63,182.27568479938242,81.5837858796297,126,v4-dev
42873046,26946,useful,Johann-S,1532339514,1,46,10,0.8419524176954734,80.01230349794233,124,v4-dev
42841698,26943,useless,Jeongryeol,1532303159,1,41,5,24.123690715020576,80.60629848251023,130,v4-dev
42715309,26927,useful,ysds,1532024566,1,9,1,0.7607196502057613,68.42561445473248,114,v4-dev
42691105,26923,useless,MartijnCuppens,1531986789,1,18,1,0.41150720164609056,67.97476337448555,113,v4-dev
42666109,26921,useless,johnnylab,1531953169,1,1,1,0,68.46332561728397,113,v4-dev
42629520,26916,useful,MartijnCuppens,1531897048,1,5,1,1.2285020576131687,69.28181828703698,114,v4-dev
42581257,26906,useless,andricksantos,1531825814,236,160174,1325,213.31669701646126,70.32614390432094,114,v4-dev
42543836,26902,useful,MartijnCuppens,1531784896,2,9,2,3.55882008744856,70.92602199074067,114,v4-dev
42524983,26898,useful,ysds,1531759098,1,3,1,3.7161887860082303,71.30463438786008,115,v4-dev
42499385,26896,useful,XhmikosR,1531725379,2,52,2,13.7111679526749,70.80434696502054,116,v4-dev
42471383,26890,useful,mdo,1531687981,1,9,1,1.9641307870370373,71.36223894032918,116,v4-dev
42470424,26889,useful,mdo,1531686577,1,2,1,3.224814043209877,70.37888554526754,115,v4-dev
42470100,26888,useful,mdo,1531686234,1,2,1,0.9602381687242798,70.38395820473255,115,v4-dev
42469941,26887,useful,mdo,1531686013,1,12,1,1.074266846707819,70.38722659465023,115,v4-dev
42436295,26881,useless,Jing-C,1531589375,1,2,1,9.064785365226337,68.81284619341561,118,v4-dev
42433772,26880,useful,mdo,1531578856,1,2,1,0.09552777777777777,65.95326877572015,115,v4-dev
42333240,26866,useful,m5o,1531377175,2,32,2,7.032598894032922,177.66513027263355,209,v4-dev
42310703,26862,useful,mdo,1531346816,1,256,64,115.9465551697528,59.72307960390946,106,v4-dev
42310029,26860,useful,XhmikosR,1531345514,1,3,1,12.763177854938267,58.736499614197506,105,v4-dev
42228341,26848,useful,jarstelfox,1531217540,2,4,1,3.559276363168724,138.71534336419754,182,v4-dev
42199850,26844,useful,simPod,1531184943,1,12,2,0.2130634002057613,44.58080967078192,93,v4-dev
42194259,26842,useless,simPod,1531176685,1,63,24,32.52512731481479,44.679574331275745,93,v4-dev
42163554,26837,useful,browner12,1531124818,1,14,5,2.24567399691358,44.297796296296276,95,v4-dev
42151962,26834,useful,XhmikosR,1531111191,2,108,5,10.448517746913582,142.48658834876534,187,v4-dev
42151612,26832,useless,patrickhlauke,1531110745,1,2,1,0,43.46684683641977,95,v4-dev
42151570,26831,useful,XhmikosR,1531110689,1,2,1,0,43.46753099279839,95,v4-dev
42140207,26828,useless,AmericaDriver,1531094462,1,1,1,0.8426745113168724,43.66577752057612,95,v4-dev
42130965,26826,useful,mdo,1531078887,1,1,1,1.8830209619341565,67.70350000000003,119,v4-dev
